playerId,name,positionCode,teamId,teamAbbrev,lastTeamId,lastTeamAbbrev,lastSeasonId,sweaterNumber,active,height,heightInCentimeters,weightInPounds,weightInKilograms,birthCity,birthStateProvince,birthCountry,update_ts
8447135,Gord Kannegiesser,D,NA,NA,NA,NA,19711972,22,FALSE,6'0",183,190,86,North Bay,Ontario,CAN,2024-02-09 18:34:29.0241
8482646,Brennan Kapcheck,D,NA,NA,NA,NA,NA,NA,FALSE,5'9",175,161,72,Mt. Prospect,Illinois,USA,2024-02-09 18:34:29.0241
8456779,Thomas Kapusta,C,NA,NA,22,EDM,NA,NA,FALSE,6'0",183,187,84,Zlin,NA,CZE,2024-02-09 18:34:29.0241
8450007,Mike Karakas,G,NA,NA,NA,NA,19451946,1,FALSE,5'11",180,147,66,Aurora,Minnesota,USA,2024-02-09 18:34:29.0241
8459426,Paul Kariya,L,NA,NA,19,STL,20092010,9,FALSE,5'10",178,185,83,Vancouver,British Columbia,CAN,2024-02-09 18:34:29.0241
8478064,Miro Karjalainen,D,NA,NA,25,DAL,NA,58,FALSE,6'7",201,225,101,Vihti,NA,FIN,2024-02-09 18:34:29.0241
8477333,Marcus Karlstrom,D,NA,NA,52,WPG,NA,93,FALSE,6'2",188,181,81,Trångsund,NA,SWE,2024-02-09 18:34:29.0241
8480211,Michael Karow,D,NA,NA,25,DAL,NA,NA,FALSE,6'2",188,200,90,Green Bay,Wisconsin,USA,2024-02-09 18:34:29.0241
8471277,Martins Karsums,R,NA,NA,14,TBL,20082009,44,FALSE,5'10",178,198,89,Riga,NA,LVA,2024-02-09 18:34:29.0241
8483245,Brandon Kasel,G,NA,NA,NA,NA,NA,NA,FALSE,6'2",188,174,78,Ithaca,New York,USA,2024-02-09 18:34:29.0241
8448401,Mike Kaszycki,C,NA,NA,NA,NA,19821983,21,FALSE,5'9",175,190,86,Milton,Ontario,CAN,2024-02-09 18:34:29.0241
8483402,Max Kaufman,L,NA,NA,NA,NA,NA,NA,FALSE,5'8",173,165,74,Pittsford,New York,USA,2024-02-09 18:34:29.0241
8475642,Ray Kaunisto,L,NA,NA,26,LAK,NA,82,FALSE,6'4",193,193,87,Sault Ste. Marie,Michigan,USA,2024-02-09 18:34:29.0241
8467591,Arttu Kayhko,D,NA,NA,NA,NA,NA,NA,FALSE,6'5",196,230,104,Joensuu,NA,FIN,2024-02-09 18:34:29.0241
8460512,Jeffrey Kealty,D,NA,NA,18,NSH,NA,NA,FALSE,6'4",193,175,79,Boston,Massachusetts,USA,2024-02-09 18:34:29.0241
8448420,Rick Kehoe,R,NA,NA,NA,NA,19841985,17,FALSE,5'11",180,180,81,Windsor,Ontario,CAN,2024-02-09 18:34:29.0241
8481516,Joel Kellman,C,NA,NA,28,SJS,20202021,46,FALSE,5'11",180,192,86,Karlskrona,NA,SWE,2024-02-09 18:34:29.0241
8448448,Brad Kempthorne,R,NA,NA,NA,NA,NA,NA,FALSE,6'2",188,202,91,Boissevain,Manitoba,CAN,2024-02-09 18:34:29.0241
8447166,Ted Kennedy,C,NA,NA,NA,NA,19561957,9,FALSE,5'11",180,175,79,Humberstone,Ontario,CAN,2024-02-09 18:34:29.0241
8456818,Troy Kennedy,R,NA,NA,NA,NA,NA,NA,FALSE,5'10",178,200,90,Brandon,Manitoba,CAN,2024-02-09 18:34:29.0241
8456819,Kenneth Kennholt,D,NA,NA,20,CGY,NA,NA,FALSE,6'3",191,191,86,Stockholm,NA,SWE,2024-02-09 18:34:29.0241
8447167,Ernest Kenny,D,NA,NA,NA,NA,19341935,10,FALSE,6'2",188,195,88,Vermilion,Alberta,CAN,2024-02-09 18:34:29.0241
8477789,Paul Kenny,G,NA,NA,NA,NA,NA,NA,FALSE,5'8",173,157,71,Long Island,New York,USA,2024-02-09 18:34:29.0241
8456821,Ross Kenny,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,St. Albert,Alberta,CAN,2024-02-09 18:34:29.0241
8450009,Dave Kerr,G,NA,NA,NA,NA,19401941,1,FALSE,5'10",178,160,72,Toronto,Ontario,CAN,2024-02-09 18:34:29.0241
8474140,Blake Kessel,D,NA,NA,4,PHI,NA,NA,FALSE,6'2",188,205,92,Madison,Wisconsin,USA,2024-02-09 18:34:29.0241
8456825,Marty Ketola,R,NA,NA,NA,NA,NA,NA,FALSE,5'10",178,185,83,Cloquet,Minnesota,USA,2024-02-09 18:34:29.0241
8448474,Veli-Pekka Ketola,C,NA,NA,NA,NA,19811982,31,FALSE,6'3",191,220,99,Pori,NA,FIN,2024-02-09 18:34:29.0241
8459140,Nikolai Khabibulin,G,NA,NA,16,CHI,20132014,39,FALSE,6'1",185,208,94,Sverdlovsk,NA,RUS,2024-02-09 18:34:29.0241
8475437,Anton Kharin,L,NA,NA,NA,NA,NA,NA,FALSE,5'11",180,181,81,Moscow,NA,RUS,2024-02-09 18:34:29.0241
8474871,Jimmy Kilpatrick,C,NA,NA,24,ANA,NA,NA,FALSE,5'10",178,185,83,Minneapolis,Minnesota,USA,2024-02-09 18:34:29.0241
8447183,Wally Kilrea,R,NA,NA,NA,NA,19371938,14,FALSE,5'7",170,150,68,Ottawa,Ontario,CAN,2024-02-09 18:34:29.0241
8480307,Michael Kim,D,NA,NA,5,PIT,NA,67,FALSE,5'11",180,200,90,Boston,Massachusetts,USA,2024-02-09 18:34:29.0241
