season,season_start_year,season_start_date
199293,1992,1992-10-06
199394,1993,1993-10-05
199495,1994,1994-01-20
199596,1995,1995-10-06
199697,1996,1996-10-04
199798,1997,1997-10-01
199899,1998,1998-10-09
199900,1999,1999-10-01
200001,2000,2000-10-04
200102,2001,2001-10-03
200203,2002,2002-10-09
200304,2003,2003-10-08
200405,2004,2004-12-30
200506,2005,2005-10-05
200607,2006,2006-10-04
200708,2007,2007-09-29
200809,2008,2008-10-04
200910,2009,2009-10-01
201011,2010,2010-10-07
201112,2011,2011-10-06
201213,2012,2012-01-19
201314,2013,2013-10-01
201415,2014,2014-10-08
201516,2015,2015-10-07
201617,2016,2016-10-12
201718,2017,2017-10-04
201819,2018,2018-10-03
201920,2019,2019-10-02
202021,2020,2020-01-13
202122,2021,2021-10-12
202223,2022,2022-10-07
202324,2023,2023-10-10
